MovieID,Title,Genres,Rating
53,Lamerica (1994),Drama,4.78
527,Schindler's List (1993),Drama|War,4.78
745,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.72
858,"Godfather, The (1972)",Action|Crime|Drama,4.7
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,4.69
1148,"Wrong Trousers, The (1993)",Animation|Comedy,4.68
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.68
2503,"Apple, The (Sib) (1998)",Drama,4.67
2905,Sanjuro (1962),Action|Adventure,4.67
3338,For All Mankind (1989),Documentary,4.64
