MovieID,Title,Genres,Rating
162,Crumb (1994),Documentary,4.26
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,4.23
1178,Paths of Glory (1957),Drama|War,4.23
1206,"Clockwork Orange, A (1971)",Sci-Fi,4.21
1260,M (1931),Crime|Film-Noir|Thriller,4.21
1288,This Is Spinal Tap (1984),Comedy|Drama|Musical,4.19
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.18
2731,"400 Blows, The (Les Quatre cents coups) (1959)",Drama,4.18
3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",Drama,4.18
3134,"Grand Illusion (Grande illusion, La) (1937)",Drama|War,4.17
